DocText,DocDate
"First stop on Nanook's #BookTour during .@COP26 with @LoveBooksGroup 🐾🌍  ""This little book was great to open up a conversation with my 8 year old about climate change. She liked Nanook's character alot... Overall a good informative read 😀"" - Melissa, Craft and Book Junkie NI",2021-11-01 13:41:07
"Sir David Attenborough has fucking nailed it. That's what you call environmental passion, warnings and a vision of hope over doom to tackle climate change. Amazing. #COP26",2021-11-01 13:18:35
"I think the city of Glasgow hosting #COP26 is truly amazing for the country of Scotland. I truly hope, it brings real change to the planet and helps fight the cause of climate change. I hope Glasgow can make amazing history during #COP26 #COP26Glasow #PeopleMakeGlasgow",2021-11-01 13:17:51
Starting a conversation about climate change is the best way to begin a journey of moving towards a green life.,2021-11-01 13:17:40
"Love the subtle periphrasis of @RndmForestRunnr at COP26...  'To give anything less than our best...'  A very different context, equally relevant to climate change as it is to running #COP26",2021-11-01 13:02:25
Like the climate cares how much Tory on #politicslive spins UK record on #climatechange.,2021-11-01 12:32:31
Anyone else wander what the carbon emmissions totals are for 25k people descending on Glasgow? #climatechange,2021-11-01 12:25:54
"Amazing how so many of the same folk are experts on virology, gender equality, male violence, mental health and now to top it all off... Climate change too! Amazing. More power to them. Heros walk among us.",2021-11-01 12:18:04
"🚨🔥🚨𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚: PM greets world leaders at Glasgow summit for 'last, best hope' to tackle climate change: Global leaders are gathering in Glasgow for critical climate change talks, regarded as the world's ""last, best hope"" to avoid…     VIA @SkyNews - @BHheadlines©",2021-11-01 12:10:33
".@Walmart Thank you for committing to slash 1 gigaton of emissions by 2030. That's huge! Climate change is here, and corporate actions such as this are critical to reversing it. Keep up the good work!",2021-11-01 12:03:22
It’s cold crisp and colorful Fall morning here in Erie.. thank you fake man made climate change!,2021-11-01 11:56:47
I'm very clear that Brazzers is important to climate change talks,2021-11-01 11:51:18
"Yellen today: ""I see carbon pricing as a very efficient way"" to deal with climate change. ""It has a lot recommend it""",2021-11-01 11:33:58
Well done to the pupils @ECABasingstoke - their incredible work with WWF and The Grange Festival for COP26 has been featured on both BBC South Today and BBC local radio #climatechange #futurevisions #yourvoice,2021-11-01 10:42:53
"🌍#COP26 is well underway!  In the spirit of all things green, we’d like to ask you:  Are you interested in working in a green job that helps fight climate change?  #WeAreHays #GreenerFuture",2021-11-01 10:25:34
"#Nature has never featured as prominently in any @UNFCCC #COP than it will in Glasgow.  To keep up-to-date on nature-related events at #COP26 ,  I would highly recommend following: - @DefraGovUK  - @Nature4Climate  - @TNFD_  - @BfNCoalition  - @FinanceforBio  - @cisl_nature",2021-11-01 10:24:18
The Climate has changed wonderfully today.  Yesterday the Climate was rainy and today the Climate is really sunny!  I do like Climate Change.  #OCLIMATE,2021-11-01 10:05:04
Good morning and happy #COP26! What changes are you hoping to see from this year's conference? #sustainability #energysaving #climatechange,2021-11-01 09:50:22
"For communities across #Africa, the impacts of climate change are being felt right now.   As world leaders come together to step up #ClimateAction and ensure we keep 1.5° alive, here's why #COP26 is so important.",2021-11-01 09:00:30
Good morning my cunning little climate change challengers xx,2021-11-01 08:11:52
#G20: a great victory for Italy's image on the international scenario. A disappointment with regards to climate change.,2021-11-01 07:05:02
Love how all the media are like wow young Māori activist climate change etc etc etc … you didn’t pay attention to any of them when they were home 🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️ better keep this energy !!!!!,2021-11-01 05:21:09
I'm hearing good things about Race for Tomorrow by Simon Mundy. Looks like a great piece on how the climate crisis is impacting the modern world! Look forward to reading it soon   #sustainability #environment #climatechange #BookTwitter  #BooksWorthReading,2021-11-01 04:55:14
".@IKEAUSA Thank you for going carbon positive by 2030! Climate change is here, and we need bold corporate actions like this. Keep it up!",2021-11-01 02:35:29
I'm very clear that sweet jumps are important to climate change talks,2021-11-01 00:50:04
Thank to G20 summit leaders unity in taking right decisions to uphold climate change and Corona virus challenges mitigation by wearing safety masks and Vaccination for all who opt for good health. Thank you Sir.,2021-11-01 00:41:42
Thank you climate change for making Halloween even sluttier this year!,2021-10-31 23:36:41
"SteamDrills -Build paths for folks to follow, like a railroad toward their future ClimateChange Inspiration 5Star by RiveraSunAuthor",2021-10-31 21:41:09
Wonderful to see #PetePostlethwaite on that quintessential #Storyville #TheAgeOfStupid . *Our* age re Climate Change.,2021-10-31 21:30:30
Fantastic forthright v clear interview with @CFigueres on @RNBreakfast just now. Calling out Australia's incredible irresponsibility re climate change &amp; @ScottMorrisonMP Gvt stupidity not maximising our 'treasure trove' of renewable riches. Just ahead of Macron in making my day!,2021-10-31 21:26:25
"Brilliant ideas happening @somalisintech climate change hackathon, loved every presentation. Kudos to the teams 🙌",2021-10-31 20:50:17
"Thank you @POTUS for your commitment to reducing CO2 50% by 2030. The impacts of climate change are upon us. The fastest, most effective tool? A #PriceOnCarbon coupled with a cashback dividend. #GemStCCL, @citizensclimate",2021-10-31 20:09:24
Dear Billionaires.  Thank you for spending more carbon than I will ever use in my entire life to lecture me on climate change.  Dually noted.,2021-10-31 19:07:38
Imported legumes have drastically less impact on climate change than local beef.   This is because transport makes up a very small percentage of a foods GHG footprint.   Italian beans for example are a more environmentally choice for Australian’s than local beef.,2021-10-31 18:46:44
"HAPPY HALLOWEEN FRIENDS 🎃 🎆 GENTLE RAMBLER PRESENTS Episode 27 Interview with @TurboKitty co chairwoman of Nev Green Party, Abortion, Climate Change and much more ENJOY 👍🎙️🌍 ALSO THANK YOU TO @Jaybefaunt for having me on his SHOW!! #FHL #podcasts",2021-10-31 18:41:50
"It's 66 degrees here on Halloween. Like most New Englanders, I remember many a year having to wear a ski jacket and gloves under the costume. #ClimateChange",2021-10-31 18:40:12
"GREETINGS FRIENDS AROUND THE WORLD 🌍🌃☕ GENTLE RAMBLER PRESENTS: Beneath the Surface Episode 27 Interview with @TurboKitty on Abortion, Climate Change, Green Party and more ENJOY 🎙️👍💯",2021-10-31 18:19:32
"I love that when @GretaThunberg arrives at #COP26 her “security” entourage is a swarm of women who surround her, locked in arms, moving her forward. Contrast that w/ leaders who’ve led less than her on key crises like climate change, armored and paranoid. True leadership, Greta.",2021-10-31 18:11:41
Climate change - every little helps.  Enormous amounts of pork chop for dinner!,2021-10-31 17:45:59
"Thinking about what my generation has contributed to mankind (so far), I think we're doing a decent job, leaving this place and it's inhabitants in a better state than we found it, you know until we all die due to climate change 💜",2021-10-31 17:09:09
HAPPY #Sustainable #SupplyChainSunday!   #SupplyChain is now recognized as more important than ever before in the fight against #ClimateChange!  #Follow   @SupplyChain  @SCM_Technology   @SupplyChainNtwk @DistLogistics   @JeffAshcroft! Cheers!  #SCM #ecommerce #fulfillment #COP26,2021-10-31 17:06:18
Really interesting read and photos on how Glasgow has changed-good for both geographers and @BarrheadHistory   Glasgow: The last best hope to fight climate change,2021-10-31 16:39:36
"Chuck has the audacity to lecture on Climate Change? Really? Wonder how much damage has been done by heating massive, empty palaces? Flying first class around the world? Slaughtering animals for fun? Hypocrite",2021-10-31 16:22:10
The best way to attack climate change to use as much clean energy as possible and then supplement with easily deployable coal for those unpredictable circumstances #ClimateAction #ClimateEmergency #Climate #COP26 #GlobalWarming #Pollution #CO2,2021-10-31 13:40:20
Love is Love All lives Matter Climate change is real All humans deserve rights Lgbtq+ is Valid,2021-10-31 13:16:38
"To all my great great @ManUtd fans around this great American globe that want to visit Old Trafford in Scotland, vote for me and I will end the war on climate change, TODAY!!!! Making it simple to fly anywhere. #G20 #PremierLeague",2021-10-31 12:50:43
It’s a very dark and damp Fall morning here in Erie.. thank you fake man made climate change!,2021-10-31 12:09:22
"I love d way powerful people &amp; #politicians  talk about #climatechange with their powerful #cars &amp; #bikes, their mansions with air-conditioners &amp; their #privatejets.  The rest nod their heads, unaware of a blast coming their ways! @GretaThunberg @UNFCCC @India4Climate",2021-10-31 11:30:17
"I know.. Brilliant idea. Let’s all build homes in tornado ally. Fantastic!!! we can then watch as they destroy all the homes, blame it on climate change and use it as evidence to back it up.. Brilliant",2021-10-31 11:29:14
"#G20 &amp; #COP26 = supply chain disruption &amp; climate change. City logistics = resilience, sustainability, safety, environmental justice, quality of life, global economy and so much more. The most important part of transportation planning!  #freightmatters",2021-10-31 10:41:58
"Hey @cerysmatthews We know how much you love global collaboration, any chance of a shout out for brilliant students here in Glasgow - Our Dear Green Place and beyond who are helping tell global stories of the impact of climate change?  Diolch! 🌍👍",2021-10-31 10:30:01
World leaders = Hypocritical bastards. Thank me later #COP26 #climatechange #COP26Glasgow #ClimateCrisis #ClimateEmergency #ClimateAction,2021-10-31 10:15:51
"We're so impressed with the #MoneySense Climate Savers Top Trumps winners! Stanley, 9, from Invergowrie, chose to remind us to layer up before we turn the heating on to help reduce our household’s energy use (and the heating bills, too!). Nice one, Stanley. #COP26 #ClimateChange",2021-10-31 10:15:00
"COP THIS. The great irony is that the Globalists who have caused so much pollution now weaponise 'climate change' as a means of further power, control and taxation.",2021-10-31 10:07:25
"Love or hate her, I think Greta is the reason climate change has made it onto politicians agendas and the public’s minds. She’s done an incredible job and no doubt we’ll all have a lot to thank her for in years to come. @GretaThunberg    #marr",2021-10-31 10:04:58
I love Greta me was going applause her English and knowledge on climate change then she goes and says naughty words like pissed off 😂😂😂 Still think she’s class like 👍 #Marr,2021-10-31 09:55:23
I just hosted the most amazing couple who #CYCLED from #London to #Glasgow to attend #COP26 it took them a week to get here! Absolutely incredible commitment to #climatechange &amp; I’m so impressed on so many levels xx ❤️🌍🚴🚴,2021-10-31 09:52:45
"Hugely impressed by @Ed_Miliband on #marr, clear and well-informed and sounds like a man with a genuine plan to tackle climate change. Even got away with his line “a red thread from red Ed” 😂",2021-10-31 09:46:02
Very impressed by Tina Stege from The Marshall Islands. The most persuasive speaker I’ve heard on the need for climate change. @AndrewMarr9 @BBCPolitics,2021-10-31 09:41:00
"“Our best chance to stop global warming has arrived” **** me this “news” is so ****, the best time to do something on climate change was when I was still in diapers and sucking my thumb",2021-10-31 09:28:50
"Amid the #UN COP26 climate conference @ Glasgow, researchers are voicing their alarming bells by underscoring link between climate change and migration is so far full talks with little action.  #The World Bank report.",2021-10-31 09:26:46
I told my wife I believe in #climatechange. I left her for her best friend.  I changed my climate 😏,2021-10-31 08:18:50
"Bro,US is really into Climate Change agenda like nonsense ...... Countries that see beyong the brains",2021-10-31 07:33:20
"""pope francis and joe biden discuss climate, poverty and covid 19""  joe: you hear about climate change? pope: yesss love it. what about poverty joe: love it! and covid 19? pope: love it so much omg purrr",2021-10-31 04:03:51
So the mahatma of climate change has reached Glasgow with her entourage,2021-10-31 03:56:09
"Excellent Podcast..”Chronic Catastrophe” about the impacts of cumulative climate change disasters on our mind, bodies and spirits. Great job by local  college students in Sonoma County California..picked up by NPR Podcasts",2021-10-31 01:59:46
"#Affirmation I love HELPING to keep our earth MORE COOL, with HOT ideas witch treats everyone LESS CRUEL. #Helpful #Lending $TREE #Trees #PlantTrees #TREEtment #CarbonFootprint #ClimateChange #WeatherizationDay #CoolDown #DevilsNight #DeEvilsKnight",2021-10-31 01:31:14
"Thank you climate change for this incredible storm, I'm currently rewatching #NorthandSouth 😌😌😌😌😌",2021-10-30 23:55:46
"The Liberals two most favoured climate change solutions require intensive amounts of water, Nuclear and Carbon Capture and Storage. Perfect for a dry continent #insiders",2021-10-30 22:53:18
I'm very clear that leftover curry is important to climate change talks,2021-10-30 21:50:13
Unbelievable that the heir apparent PRINCE CHARLES is lecturing the world on #climateChange. I’d like to know more regarding his holier than thou opinion on #ADULTERY. The almighty privileged #soapBOX #aJOKE.,2021-10-30 20:45:55
"Thank you so much to everyone who co-created and came to TEDxHappily today, it’s wonderful to be in a community of climate change makers from all walks of life 🌏🕊",2021-10-30 20:00:48
More Love Less Ego will create world peace and curb climate change.,2021-10-30 19:42:04
